"100075","0","トルコゆるキャラ追加","113","101","2018.03.12","2018.03.12"
"100076","0","山梨ゆるキャラ追加","106","103","2018.03.14","2018.03.14"
"100077","0","長野ゆるキャラ追加","106","104","2018.03.16","2018.03.16"
"100078","0","トルコゆるキャラ追加","113","101","2018.03.18","2018.03.18"
"100079","0","岐阜ゆるキャラ追加","106","105","2018.03.21","2018.03.21"
"100080","0","福井ゆるキャラ追加","106","106","2018.03.21","2018.03.21"
"100081","0","石川ゆるキャラ追加","106","107","2018.03.24","2018.03.24"
"100082","0","富山ゆるキャラ追加","106","108","2018.03.25","2018.03.25"
"100083","0","新潟ゆるキャラ追加","106","109","2018.03.27","2018.03.27"
"100084","0","徳島ゆるキャラ追加","107","101","2018.03.31","2018.03.31"
"100085","0","香川ゆるキャラ追加","107","102","2018.03.31","2018.03.31"
"100086","0","愛媛ゆるキャラ追加","107","103","2018.04.02","2018.04.02"
"100087","0","高知ゆるキャラ追加","107","104","2018.04.03","2018.04.03"
"100088","0","スペインゆるキャラ追加","113","109","2018.04.11","2018.04.11"
"100089","0","沖縄ゆるキャラ追加","108","101","2018.04.14","2018.04.14"
"100090","0","北海道ゆるキャラ追加","109","101","2018.04.15","2018.04.15"
"100091","0","愛知ゆるキャラ追加","106","101","2018.04.17","2018.04.17"
"100092","0","愛媛ゆるキャラ追加","107","103","2018.04.17","2018.04.17"
"100093","0","プログラム更新　ver.1.02","","","2018.04.28","2018.04.28"
"100094","0","フランスゆるキャラ追加","113","105","2018.05.03","2018.05.03"
"100095","0","ドイツゆるキャラ追加","113","110","2018.06.10","2018.06.10"
"100096","0","プログラム更新　ver.1.03","","","2018.07.01","2018.07.01"
"100097","1","ドイツゆるキャラ追加","113","110","2018.07.01","2018.07.01"
"100098","1","プログラム更新　ver.1.04","","","2018.07.28","2018.07.28"
"100099","0","メキシコゆるキャラ追加","113","111","2018.09.30","2018.09.30"
"100100","1","メキシコゆるキャラ追加","113","111","2018.10.09","2018.10.09"
